pergunta;alternativa1;alternativa2;alternativa3;alternativa4;correta
"O GPAER é uma derivação de qual plataforma de gestão de projetos?";"Project Builder.";"Jira.";"GPWeb.";"Trello.";"GPWeb."
"Qual das alternativas abaixo NÃO representa uma informação requerida durante o cadastro inicial de um projeto no GPAER?";"Nome do projeto.";"Número de série do projeto.";"Organização responsável.";"Seção responsável.";"Número de série do projeto."
"No GPAER, qual o termo utilizado para representar as fases de um projeto?";"Marcos.";"Entregas.";"Subtarefas.";"Tarefas.";"Tarefas."
"Após o cadastro inicial de um projeto no GPAER, quais informações adicionais podem ser inseridas para o planejamento e controle das atividades?";"Datas de início e término das tarefas, pessoas designadas para executá-las e porcentagem de comprometimento com outras tarefas.";"Histórico profissional dos stakeholders, indicadores de desempenho do mercado e análise de SWOT.";"Relatórios de viagens, atas de reuniões e apresentações em PowerPoint.";"Planilhas de custos, cronogramas e organogramas.";"Datas de início e término das tarefas, pessoas designadas para executá-las e porcentagem de comprometimento com outras tarefas."
"O GPAER oferece diferentes interfaces para visualização das informações do projeto. Qual das alternativas abaixo NÃO corresponde a afirmação anterior?";"Gráfico de Gantt.";"Diagrama de Rede.";"Estrutura Analítica de Projeto (EAP).";"Lista de Tarefas.";"Diagrama de Rede."
"As informações sobre o andamento das tarefas no GPAER podem ser visualizadas com o auxílio de cores. Qual a cor utilizada para indicar que uma tarefa está atrasada?";"Verde.";"Azul.";"Amarelo.";"Vermelho.";"Vermelho."
"Qual o nome dado aos elementos que permitem a avaliação do andamento dos projetos no GPAER?";"Objetivos.";"Indicadores.";"Metas.";"Estratégias.";"Indicadores."
"No contexto do GPAER, o que significa a sigla EAP?";"Plano de Estratégia e Avaliação.";"Equipe de Alta Performance.";"Estrutura Analítica do Projeto.";"Escopo, Ações e Prazos.";"Estrutura Analítica do Projeto."
"A partir do gráfico EAP no GPAER, qual ação o usuário pode realizar?";"Consultar o orçamento detalhado do projeto.";"Gerar relatórios de despesas.";"Visualizar as subtarefas de uma tarefa.";"Editar os indicadores estratégicos.";"Visualizar as subtarefas de uma tarefa."
"O GPAER permite a definição de diferentes perfis de acesso, com permissões específicas para visualizar, inserir ou editar informações. Qual perfil concede acesso irrestrito a todas as informações e funcionalidades do sistema?";"Admin.Observador.";"Spvs.Coordenador.";"Gest.Projeto.";"Usuário.";"Admin.Observador."
